dimm_id,date_time,error_type
3b0aa3d670902f9ee2cac44fc848520c,2014-10-31 02:50:12,Uncorrectable ECC
5621698c3aa97523bc33f6102ec9241d,2014-10-31 11:41:13,Uncorrectable ECC
8e997ac1026c6e024d2681743a52a5a7,2014-11-01 13:08:15,Memory Scrub Failed (stuck bit)
8e997ac1026c6e024d2681743a52a5a7,2014-11-02 18:28:30,Memory Scrub Failed (stuck bit)
3eafeb9554781f9b95c723c877c85c67,2014-11-14 20:32:51,Uncorrectable ECC
3563cb0ba2d1d6b11523e3f85a2aab78,2014-11-19 20:50:24,Critical Overtemperature
1ebf0d66998b943609c6aa37253b538a,2014-12-07 22:21:28,Uncorrectable ECC
57197f72110bfab0be05ce50fd9a1a88,2015-01-06 20:35:42,Uncorrectable ECC
57197f72110bfab0be05ce50fd9a1a88,2015-01-19 20:18:26,Uncorrectable ECC
95409b6dcb81258798ff24b94b1d0a6b,2015-02-06 21:13:30,Memory Scrub Failed (stuck bit)
95409b6dcb81258798ff24b94b1d0a6b,2015-02-06 21:42:36,Memory Scrub Failed (stuck bit)
ad3c8bd2139a7e28505d3adf6924e6c6,2015-02-23 23:36:30,Uncorrectable ECC
e1b395aa1913829ace84f76877ed17dc,2015-02-25 15:54:07,Uncorrectable ECC
7a6f9c548ccd5f51b6674d931fc28c87,2015-03-17 01:17:13,Critical Overtemperature
bb348a5c3bc0f48d925f556c5c703d03,2015-03-17 01:17:13,Critical Overtemperature
4447f2a9945dea69c81ef198ea8e132d,2015-03-20 16:50:40,Uncorrectable ECC
501b85e29976e45f3b562884fc273508,2015-03-24 01:06:57,Critical Overtemperature
37d66c2145343deb928dd3e26aa774df,2015-03-24 17:10:27,Critical Overtemperature
ad572748b46310a01c350785733563b7,2015-03-24 20:44:31,Critical Overtemperature
2bc6414004a423ef2b7185071b8cdb83,2015-03-26 07:33:45,Critical Overtemperature
8bca629b0aae6f38e1ad5017e1d21cb2,2015-03-29 20:33:39,Uncorrectable ECC
44ce611b673e262262aaaec507e55932,2015-04-06 02:34:16,Critical Overtemperature
6749d59d7d93c3216bf88cee601a7a6d,2015-04-23 00:14:04,Critical Overtemperature
5480d108604fd9e30353f91b6a402a21,2015-05-10 22:22:27,Uncorrectable ECC
98e0268a77035dd809a7d158de6dd4b4,2015-06-07 15:56:20,Critical Overtemperature
3eafeb9554781f9b95c723c877c85c67,2015-06-14 17:54:09,Uncorrectable ECC
4117efd38605750d2bad0574061fbff1,2015-06-27 20:53:32,Critical Overtemperature
5fef7a7fd77fa7ca23262cbc2c6d784d,2015-07-05 04:26:02,Uncorrectable ECC
1a43b6584aa731372f68a296fd83bb35,2015-07-05 04:58:31,Uncorrectable ECC
687b3306f2829d1ed9b5d19bab77ae2b,2015-07-05 05:01:00,Uncorrectable ECC
2fe32335e989253ccc2e9414ae1935ca,2015-07-05 10:20:17,Uncorrectable ECC
cf06d961d5e23f69d9657cd9025b16ef,2015-07-15 06:44:34,Critical Overtemperature
8bca629b0aae6f38e1ad5017e1d21cb2,2015-08-24 11:34:29,Uncorrectable ECC
